Population au 1er janvier par âge et année;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(p);(p);(p);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;597.596;601.013;597.614;600.059;555.154;522.706;574.769;615.982;627.466;638.962;842.405;884.854;891.687;884.093;877.899;846.794;849.757;833.933;842.372;838.538;838.011;843.351;837.164;852.654;845.687;852.807;840.865;865.525;873.657;888.322;882.493;859.040;857.398;864.037;866.199;886.143;881.489;858.871;809.281;760.011;740.070;762.145;755.002;773.643;825.585;819.656;814.404;766.315;779.552;788.523;794.813;784.457;790.998;783.610;780.243;762.982;752.868;719.368;716.793;732.521;734.628;722.841;739.924;742.519;785.580;772.516;762.404;761.695;769.265;778.274;800.920;793.083;808.011;806.796;822.979;808.130;808.173;798.134;798.083;780.674;766.274;752.052;738.334;730.606;709.475;693.604;691.072;689.523;687.412;686.348;686.767;688.683;691.936;696.255;701.639;702.979;704.701;706.722;708.948;711.216;713.466;715.582;717.464;718.973;719.954;720.226;719.739;718.487;716.459
26;600.545;614.715;604.334;599.984;601.122;557.732;523.420;577.229;620.807;632.279;641.751;844.908;888.001;892.068;884.445;879.835;848.620;850.799;835.261;843.727;840.366;841.169;845.983;839.706;855.122;849.241;854.422;843.319;868.081;902.782;889.500;885.110;859.649;856.447;862.832;864.764;885.654;882.211;858.409;809.276;761.662;742.212;764.149;756.878;776.367;826.808;818.502;813.592;766.007;780.835;789.183;793.869;787.245;788.543;781.423;775.318;763.291;750.586;717.091;715.066;730.233;732.550;720.985;738.140;740.814;783.936;770.956;760.926;760.297;767.942;776.953;799.596;791.767;806.695;805.486;821.669;806.829;806.876;796.846;796.799;779.400;765.009;750.796;737.085;729.363;708.241;692.378;689.850;688.305;686.198;685.138;685.559;687.478;690.733;695.055;700.440;701.782;703.507;705.530;707.759;710.029;712.282;714.399;716.283;717.795;718.778;719.053;718.568;717.319
27;632.949;616.977;617.929;606.896;600.777;602.504;558.985;525.045;581.619;625.497;635.111;643.312;846.902;888.293;889.289;886.782;882.109;850.422;853.109;837.813;846.646;842.993;843.411;847.687;841.301;856.879;852.141;855.729;845.574;897.572;905.856;892.296;886.892;859.602;855.818;862.008;864.022;885.958;883.053;859.901;811.198;764.637;745.566;767.272;760.655;779.481;827.788;820.353;814.566;767.209;783.488;789.535;799.069;789.550;788.485;781.645;781.061;765.315;752.598;719.576;716.954;732.164;734.533;722.902;739.977;742.577;785.609;772.562;762.464;761.763;769.410;778.423;801.063;793.242;808.170;806.967;823.150;808.320;808.372;798.350;798.309;780.919;766.538;752.334;738.630;730.915;709.803;693.948;691.424;689.883;687.780;686.724;687.148;689.070;692.327;696.651;702.038;703.383;705.110;707.136;709.367;711.640;713.895;716.015;717.901;719.416;720.401;720.678;720.196
28;625.985;648.792;619.318;620.335;607.738;601.750;603.016;560.461;528.639;585.506;628.489;637.235;644.986;847.202;885.430;891.412;888.784;883.727;852.820;855.929;841.243;848.827;845.283;845.227;849.054;843.004;858.633;855.405;857.460;873.100;899.325;908.436;892.977;887.037;859.193;855.014;861.865;864.113;887.023;885.777;863.401;814.793;769.044;750.047;771.817;764.096;782.926;830.846;822.521;818.185;770.979;785.827;796.841;801.658;792.873;792.103;786.604;785.052;769.229;756.910;723.463;720.936;736.247;738.610;726.979;744.041;746.634;789.643;776.596;766.499;765.803;773.453;782.467;805.104;797.291;812.219;811.022;827.204;812.385;812.442;802.428;802.393;785.013;770.641;756.447;742.751;735.042;713.941;698.095;695.575;694.038;691.939;690.887;691.313;693.239;696.498;700.824;706.213;707.561;709.290;711.319;713.552;715.828;718.085;720.208;722.096;723.613;724.601;724.880
29;657.670;641.335;650.321;621.080;621.088;608.833;602.064;603.849;563.123;532.224;588.456;630.848;639.696;644.743;848.262;886.948;892.907;889.963;885.696;855.404;859.279;843.383;851.045;847.546;847.101;850.789;844.872;860.967;859.348;886.111;877.358;904.089;912.031;894.612;888.668;860.137;855.923;862.934;868.065;889.925;890.540;868.545;819.999;774.872;755.922;777.504;768.231;787.017;834.463;826.810;823.177;775.980;793.211;803.095;806.513;796.141;800.049;791.972;790.423;774.944;762.233;728.868;726.414;741.682;744.010;732.348;749.369;751.926;794.881;781.805;771.719;771.029;778.681;787.697;810.330;802.525;817.453;816.262;832.444;817.636;817.698;807.693;807.662;790.293;775.930;761.745;748.058;740.355;719.265;703.427;700.912;699.379;697.284;696.236;696.665;698.593;701.855;706.183;711.573;712.925;714.657;716.688;718.924;721.201;723.461;725.586;727.477;728.997;729.987
30;655.378;672.983;643.322;651.339;621.487;622.072;609.176;604.000;606.856;566.308;534.760;591.003;633.582;640.609;650.903;848.627;887.040;892.727;890.443;886.885;857.549;861.864;845.199;852.936;849.580;849.092;852.504;847.110;863.721;885.804;888.413;880.395;906.251;913.942;895.967;890.694;862.355;858.563;866.912;872.943;894.094;896.045;874.688;825.472;780.510;761.326;782.502;771.965;791.262;840.029;831.804;827.462;784.796;798.684;806.531;812.060;803.634;805.545;797.541;796.258;780.459;767.845;734.580;732.111;747.354;749.664;737.989;754.985;757.523;800.441;787.377;777.302;776.618;784.273;793.290;815.920;808.124;823.051;821.866;838.048;823.250;823.318;813.322;813.297;795.937;781.585;767.409;753.730;746.034;724.954;709.125;706.615;705.086;702.995;701.951;702.383;704.313;707.578;711.908;717.300;718.655;720.390;722.424;724.662;726.942;729.204;731.332;733.225;734.747
31;678.228;669.661;675.180;644.760;651.431;622.025;622.373;611.068;607.782;610.099;568.764;537.005;594.065;634.894;641.988;650.718;847.793;885.636;892.059;890.493;887.922;858.429;863.707;846.280;854.131;851.242;850.622;853.944;849.177;889.501;888.459;891.607;882.617;907.826;915.702;896.807;892.490;863.476;863.700;871.204;878.670;898.655;902.056;880.614;830.120;787.624;766.217;786.403;776.300;796.528;845.440;837.292;835.563;790.672;801.607;811.651;819.084;808.667;810.499;802.788;801.263;785.591;773.100;739.877;737.436;752.695;755.029;743.384;760.395;762.956;805.860;792.808;782.744;782.067;789.725;798.743;821.370;813.583;828.509;827.331;843.513;828.726;828.799;818.812;818.793;801.445;787.102;772.936;759.266;751.577;730.508;714.688;712.183;710.658;708.572;707.532;707.967;709.900;713.168;717.500;722.894;724.252;725.990;728.027;730.268;732.551;734.815;736.946;738.842
32;648.858;693.411;671.916;676.783;644.899;651.553;622.037;624.685;614.663;611.248;611.798;570.287;539.309;594.780;634.117;641.577;649.822;845.992;884.317;891.348;890.629;889.146;858.078;864.258;846.226;854.515;851.853;851.425;854.778;872.561;891.193;890.182;892.506;882.792;907.983;916.387;897.099;893.527;867.696;868.426;875.486;883.988;903.071;907.170;884.777;836.978;792.563;769.344;790.203;782.213;801.617;851.011;845.833;841.113;793.664;806.139;818.746;824.003;813.563;815.670;807.724;806.270;790.693;778.212;745.010;742.571;757.822;760.155;748.517;765.521;768.086;810.975;797.936;787.884;787.214;794.874;803.895;826.518;818.740;833.666;832.495;848.677;833.902;833.979;824.003;823.989;806.653;792.321;778.165;764.504;756.823;735.765;719.955;717.454;715.934;713.852;712.817;713.255;715.192;718.463;722.797;728.193;729.554;731.295;733.335;735.579;737.865;740.132;742.265
33;657.179;661.894;696.351;673.514;676.945;645.196;651.248;624.264;628.381;617.810;613.083;612.253;571.581;539.037;590.420;633.573;640.663;648.243;844.425;883.044;890.902;890.428;890.040;857.373;864.524;845.960;854.902;852.644;852.412;877.488;873.751;893.080;890.701;892.750;882.500;907.987;917.107;897.267;897.328;871.696;872.862;879.096;888.669;906.625;910.743;889.446;842.053;796.612;772.556;794.416;788.319;806.829;859.789;849.926;844.157;797.964;812.793;823.359;828.635;818.399;820.293;812.438;811.070;795.507;783.037;749.859;747.426;762.671;765.007;753.379;770.381;772.951;815.825;802.799;792.759;792.096;799.758;808.781;831.401;823.632;838.558;837.394;853.577;838.814;838.896;828.930;828.923;811.599;797.277;783.132;769.480;761.807;740.761;724.960;722.465;720.950;718.872;717.841;718.283;720.224;723.498;727.834;733.232;734.596;736.341;738.384;740.630;742.919;745.190
34;650.500;669.336;664.537;698.522;673.473;677.283;644.941;652.928;627.894;631.656;619.118;613.550;612.422;569.859;538.856;589.663;632.695;639.208;647.006;843.023;882.177;890.296;889.195;889.800;855.689;864.090;845.150;854.619;852.800;874.478;878.774;874.920;893.862;890.166;892.250;881.752;907.764;917.133;899.909;900.762;875.532;876.859;882.331;892.452;908.649;915.888;893.013;845.567;800.706;777.565;799.166;793.651;814.889;863.650;852.875;848.473;803.213;816.986;827.524;832.977;822.618;824.650;816.923;815.598;800.088;787.669;754.553;752.166;767.444;769.820;758.205;775.205;777.780;820.639;807.626;797.599;796.943;804.608;813.634;836.250;828.492;843.416;842.260;858.443;843.692;843.780;833.825;833.825;816.513;802.202;788.068;774.426;766.761;745.727;729.937;727.447;725.938;723.864;722.838;723.284;725.228;728.506;732.844;738.244;739.612;741.360;743.406;745.655;747.947
35;657.439;662.502;671.618;666.339;698.786;673.662;677.016;646.265;655.569;630.514;632.659;618.743;613.467;609.668;562.681;538.059;588.743;631.526;638.280;646.088;842.217;881.182;889.674;888.033;889.659;854.258;863.821;844.524;854.625;873.992;875.303;879.890;875.064;893.795;889.044;891.717;881.293;907.210;919.075;902.586;903.794;878.937;880.400;884.805;894.840;915.109;918.974;895.901;849.813;803.187;781.258;802.699;801.341;818.906;866.018;859.337;853.935;808.014;821.750;832.461;837.702;827.397;829.471;821.720;820.361;804.830;792.387;759.258;756.840;772.075;774.458;762.857;779.855;782.435;825.278;812.279;802.265;801.617;809.285;818.314;840.925;833.178;848.101;846.953;863.136;848.399;848.492;838.549;838.556;821.257;806.957;792.836;779.204;771.547;750.527;734.747;732.263;730.759;728.690;727.670;728.120;730.067;733.348;737.689;743.092;744.463;746.215;748.263;750.516
36;658.463;669.491;664.549;673.091;666.428;699.247;673.183;677.883;648.656;657.334;631.370;632.184;617.743;610.880;609.700;562.167;537.509;587.941;631.190;638.013;645.974;841.644;880.449;889.310;887.065;889.951;853.235;864.138;844.537;876.067;874.545;876.577;880.539;874.891;893.630;887.971;891.543;880.601;909.543;920.768;905.095;906.666;882.152;883.337;885.969;898.649;918.196;923.267;898.658;852.553;806.143;785.215;810.557;803.924;822.479;869.966;863.868;857.949;812.085;825.974;836.537;841.870;831.657;833.741;826.006;824.659;809.149;796.725;763.627;761.221;776.453;778.843;767.257;784.253;786.839;829.665;816.681;806.681;806.041;813.712;822.744;845.350;837.615;852.538;851.397;867.580;852.858;852.957;843.026;843.040;825.755;811.468;797.359;783.739;776.090;755.084;739.316;736.838;735.340;733.276;732.261;732.716;734.666;737.951;742.295;747.700;749.075;750.831;752.882
37;648.292;669.983;671.073;665.870;672.918;666.747;698.935;674.464;679.662;650.361;657.504;630.704;631.223;614.716;609.224;609.133;561.581;536.762;587.576;631.069;638.228;644.967;840.621;879.252;888.440;885.750;889.818;851.800;864.176;864.293;876.266;874.046;875.700;879.409;873.044;891.842;885.464;889.527;882.492;911.693;922.341;907.332;909.266;884.748;884.846;891.524;904.092;922.932;926.923;903.023;857.139;810.968;792.285;814.388;808.590;827.267;876.799;869.269;863.375;817.778;831.276;841.691;846.894;836.492;838.376;830.448;828.902;813.204;800.590;767.315;764.921;780.150;782.548;770.978;787.972;790.564;833.371;820.404;810.419;809.787;817.462;826.496;849.098;841.376;856.298;855.165;871.348;856.642;856.748;846.829;846.850;829.580;815.307;801.211;787.603;779.964;758.972;743.216;740.745;739.253;737.195;736.186;736.645;738.599;741.887;746.235;751.643;753.022;754.782
38;651.450;659.009;671.109;672.065;665.539;672.882;666.275;698.917;676.748;681.047;650.721;656.591;629.920;628.454;615.078;608.681;608.403;560.839;536.392;587.532;631.475;637.235;644.023;839.589;878.186;887.804;884.744;890.092;850.683;882.445;864.030;876.413;873.240;874.651;878.401;871.594;890.727;883.310;890.819;884.335;913.711;923.900;909.649;911.550;886.446;887.722;893.241;906.387;925.216;929.801;906.869;859.368;816.791;795.354;815.883;810.095;829.994;878.636;871.076;865.383;819.760;833.397;843.975;849.279;838.990;840.977;833.160;831.718;816.135;803.635;770.394;768.013;783.239;785.645;774.092;791.083;793.682;836.469;823.521;813.551;812.928;820.607;829.644;852.241;844.532;859.454;858.330;874.513;859.823;859.936;850.030;850.059;832.805;818.546;804.463;790.868;783.240;762.263;746.520;744.056;742.570;740.518;739.515;739.979;741.938;745.230;749.581;754.991;756.375
39;654.757;661.539;659.310;671.563;671.426;665.398;672.159;666.308;699.663;678.444;680.923;649.912;655.554;627.414;622.452;614.298;607.767;607.147;560.072;536.053;587.541;629.656;636.114;642.910;838.422;877.015;887.028;883.719;890.397;869.408;882.750;864.680;876.851;872.713;873.905;877.683;870.267;889.191;885.287;892.120;886.050;915.746;925.320;911.660;912.899;887.965;890.554;894.776;908.342;926.929;931.668;909.230;864.173;818.991;795.524;815.583;812.689;830.778;879.379;871.959;866.271;820.912;834.747;845.465;850.914;840.780;842.914;835.252;833.957;818.533;806.055;772.850;770.481;785.705;788.120;776.584;793.573;796.179;838.946;826.016;816.062;815.449;823.131;832.172;854.764;847.069;861.990;860.876;877.058;862.386;862.506;852.613;852.651;835.413;821.170;807.102;793.520;785.903;764.942;749.213;746.756;745.276;743.231;742.234;742.704;744.667;747.963;752.317;757.731
40;675.316;664.449;661.346;659.206;670.812;670.912;664.560;672.194;667.074;699.668;678.853;679.639;648.744;652.557;625.906;621.401;613.034;606.130;605.781;559.005;535.559;586.107;627.569;634.619;641.611;837.066;875.693;886.153;882.437;907.159;868.400;881.317;863.377;875.586;870.534;871.902;875.926;867.845;889.822;886.954;893.130;887.514;917.414;926.282;912.619;914.186;890.083;892.127;896.084;909.814;926.134;933.583;914.346;864.346;820.577;797.169;817.042;814.248;832.358;881.060;873.415;867.732;822.410;836.162;846.801;852.175;841.979;844.041;836.314;834.947;819.548;807.093;773.926;771.569;786.792;789.215;777.698;794.683;797.298;840.043;827.132;817.195;816.592;824.279;833.322;855.910;848.229;863.150;862.045;878.227;863.573;863.701;853.823;853.870;836.649;822.422;808.369;794.801;787.195;766.252;750.537;748.088;746.614;744.576;743.585;744.061;746.030;749.330;753.687
41;693.453;683.919;663.817;660.692;657.958;669.946;669.761;663.837;672.833;667.033;698.600;677.917;678.150;645.885;649.891;624.311;619.960;611.265;604.438;604.329;558.027;533.324;584.434;625.126;632.853;639.998;835.439;874.117;884.970;897.897;905.275;867.119;879.355;861.811;874.152;868.318;869.947;873.836;868.623;890.062;888.243;893.844;888.684;918.602;926.075;915.879;915.559;890.414;893.428;897.593;912.048;928.322;935.248;914.819;864.454;822.696;797.578;817.936;815.141;833.394;881.839;874.242;868.584;823.267;836.964;847.549;852.874;842.644;844.659;836.895;835.542;820.168;807.737;774.610;772.267;787.488;789.920;778.422;795.405;798.027;840.750;827.860;817.940;817.348;825.039;834.086;856.669;849.003;863.923;862.829;879.011;864.375;864.512;854.649;854.705;837.502;823.292;809.255;795.702;788.108;767.184;751.484;749.043;747.576;745.545;744.561;745.043;747.017;750.322
42;420.523;702.812;682.586;662.779;659.231;656.791;668.550;668.793;663.863;672.773;665.798;696.210;676.693;674.956;642.936;647.975;622.592;618.153;609.527;602.790;602.939;556.320;530.476;582.132;622.084;630.564;637.845;833.332;871.898;898.947;895.890;903.173;865.401;877.071;859.784;872.301;865.955;867.635;873.985;869.141;890.027;889.529;894.470;889.609;919.196;927.542;916.931;912.851;887.979;892.699;897.105;910.883;929.415;933.904;911.391;863.119;822.661;796.080;816.499;813.784;832.039;880.693;873.340;867.858;822.761;836.613;847.356;852.845;842.792;844.973;837.231;835.891;820.545;808.139;775.054;772.725;787.944;790.385;778.908;795.887;798.518;841.217;828.349;818.448;817.867;825.563;834.613;857.190;849.540;864.459;863.376;879.558;864.941;865.087;855.241;855.307;838.122;823.930;809.910;796.372;788.791;767.887;752.202;749.770;748.311;746.288;745.310;745.798;747.778
43;372.653;427.440;701.182;681.031;661.009;657.700;655.012;667.546;668.344;663.240;671.624;663.433;693.499;673.994;668.998;640.695;645.801;620.447;616.447;607.801;601.302;600.368;554.753;527.736;579.980;619.199;628.426;635.895;831.329;885.664;896.458;893.563;900.376;863.265;874.197;857.352;870.188;863.020;867.644;873.641;869.255;889.524;890.278;894.512;889.687;919.377;927.582;917.355;912.472;888.102;893.040;898.044;914.016;929.150;932.341;910.144;864.698;822.403;795.878;816.353;813.518;831.865;880.527;873.178;867.697;822.647;836.477;847.202;852.678;842.628;844.822;837.104;835.778;820.462;808.083;775.044;772.730;787.946;790.398;778.943;795.919;798.559;841.232;828.387;818.507;817.938;825.639;834.693;857.263;849.630;864.549;863.478;879.660;865.064;865.220;855.391;855.467;838.303;824.130;810.129;796.608;789.040;768.157;752.488;750.066;748.615;746.601;745.631;746.125
44;330.686;379.268;426.460;699.341;678.713;659.231;655.771;653.103;666.937;667.295;661.367;669.369;660.606;689.449;673.067;666.337;638.057;643.286;618.333;614.562;606.175;598.473;597.663;552.985;524.951;577.646;616.321;626.255;633.851;844.778;884.046;894.287;891.521;897.842;861.185;871.587;855.130;868.001;862.837;867.432;873.097;869.229;888.918;890.716;894.072;889.771;917.863;928.204;915.745;911.228;888.427;893.685;900.671;913.458;927.569;931.028;909.988;863.806;821.685;795.349;815.659;812.927;831.328;879.927;872.590;867.117;822.125;835.938;846.650;852.119;842.097;844.306;836.613;835.303;820.020;807.670;774.681;772.384;787.597;790.061;778.630;795.602;798.252;840.897;828.078;818.220;817.664;825.371;834.429;856.992;849.378;864.296;863.238;879.420;864.847;865.013;855.204;855.291;838.150;823.997;810.017;796.515;788.961;768.101;752.450;750.038;748.597;746.592;745.630
45;314.083;336.508;378.110;425.285;696.731;676.381;656.967;653.604;651.485;665.796;665.293;658.508;666.870;656.675;680.681;670.022;663.305;634.933;640.673;616.057;612.710;603.233;595.920;595.387;551.768;522.588;575.937;613.961;624.704;645.650;841.664;880.779;890.868;888.216;894.195;858.506;868.518;852.556;867.203;862.330;866.795;872.168;868.975;888.033;890.513;894.414;889.359;917.865;927.400;914.996;910.883;887.039;895.130;899.792;910.193;927.810;930.409;908.756;862.753;820.771;794.432;814.883;812.270;830.678;879.241;871.950;866.518;821.620;835.447;846.176;851.657;841.668;843.891;836.226;834.934;819.686;807.369;774.433;772.154;787.365;789.841;778.436;795.404;798.065;840.680;827.889;818.054;817.512;825.226;834.288;856.844;849.250;864.168;863.124;879.305;864.758;864.935;855.147;855.246;838.130;823.999;810.041;796.559;789.021;768.186;752.555;750.154;748.723;746.728
46;391.240;319.629;335.570;376.690;423.658;693.967;673.437;655.243;651.814;649.503;663.714;662.465;655.543;663.304;654.374;677.336;666.673;659.922;631.925;637.914;613.852;610.678;600.698;593.815;593.598;551.073;520.917;574.776;612.156;636.335;643.118;838.809;877.589;887.396;884.902;890.425;855.751;865.268;851.986;866.194;861.495;866.072;870.979;868.458;886.742;890.390;892.299;889.193;916.070;926.152;913.618;909.260;889.852;893.832;898.758;907.488;927.152;929.004;907.449;861.730;819.672;793.455;813.955;811.346;829.725;878.209;870.929;865.504;820.672;834.475;845.210;850.705;840.751;842.990;835.355;834.082;818.873;806.591;773.713;771.455;786.663;789.152;777.775;794.739;797.411;839.993;827.233;817.423;816.897;824.618;833.685;856.233;848.661;863.578;862.550;878.730;864.210;864.400;854.634;854.747;837.658;823.551;809.617;796.157;788.637;767.829;752.220;749.831;748.411
47;584.214;397.386;318.530;334.451;375.018;421.869;690.809;671.203;653.369;649.494;646.523;660.678;659.147;651.625;658.947;650.874;673.687;662.805;656.435;628.698;635.088;610.404;607.602;597.120;590.810;590.893;549.594;518.446;572.875;623.712;635.335;641.319;836.563;874.923;884.318;882.070;887.000;853.096;865.251;851.139;864.797;860.369;865.067;869.576;867.351;885.677;889.660;890.791;887.649;914.582;924.550;911.955;910.903;890.446;890.921;897.013;907.400;925.627;927.387;906.113;860.362;818.474;792.372;812.816;810.194;828.523;876.907;869.621;864.187;819.411;833.215;843.958;849.466;839.551;841.807;834.206;832.953;817.787;805.543;772.729;770.493;785.697;788.201;776.855;793.815;796.500;839.045;826.318;816.537;816.028;823.756;832.828;855.368;847.820;862.736;861.725;877.904;863.414;863.618;853.877;854.005;836.945;822.864;808.956;795.521;788.020;767.242;751.657;749.281
48;591.764;590.823;395.783;317.306;332.831;373.159;419.820;688.296;669.067;651.298;646.548;642.942;657.688;655.355;647.408;655.086;647.107;669.787;659.036;652.879;625.553;630.851;606.399;603.922;593.001;587.363;587.706;547.623;515.466;583.694;621.233;633.054;638.362;833.165;871.314;880.644;878.770;883.350;851.889;864.976;849.971;863.354;859.073;863.773;867.505;867.494;884.490;885.940;889.536;885.937;914.713;923.357;913.420;909.918;886.678;887.309;894.807;904.239;922.503;924.323;903.169;857.772;816.184;790.265;810.798;808.311;826.737;875.162;868.018;862.724;818.055;831.859;842.611;848.134;838.259;840.534;832.969;831.738;816.618;804.414;771.669;769.456;784.657;787.176;775.863;792.819;795.517;838.024;825.331;815.582;815.090;822.826;831.904;854.435;846.913;861.828;860.835;877.013;862.554;862.773;853.059;853.203;836.175;822.122;808.242;794.833;787.353;766.607;751.048
49;600.295;597.919;588.134;394.139;315.652;331.252;371.126;417.599;685.514;666.577;648.255;642.706;638.949;653.747;648.664;643.225;651.006;642.981;665.791;655.018;649.162;621.423;626.816;602.688;600.575;589.247;584.205;584.908;545.909;526.415;582.309;619.817;631.709;636.268;830.443;868.320;877.245;875.590;882.711;850.465;864.485;848.717;861.533;857.743;862.098;866.732;865.010;882.312;883.630;885.984;885.380;914.147;924.080;912.138;907.810;883.487;884.309;892.096;901.590;919.896;921.712;900.796;855.617;814.158;788.334;808.855;806.407;824.828;873.190;866.092;860.839;816.286;830.091;840.852;846.392;836.560;838.856;831.330;830.124;815.053;802.893;770.223;768.035;783.233;785.768;774.492;791.442;794.155;836.620;823.965;814.250;813.778;821.521;830.606;853.126;845.633;860.547;859.573;875.750;861.327;861.562;851.876;852.037;835.044;821.022;807.172;793.792;786.335;765.623
50;561.578;606.148;594.634;585.147;391.883;313.948;329.287;369.292;415.386;682.484;663.145;644.613;638.669;634.271;647.450;644.348;638.997;646.613;638.964;661.770;651.017;645.451;617.543;622.950;599.111;597.584;585.805;581.401;582.379;556.031;524.712;579.706;617.235;629.240;632.910;826.510;864.096;872.701;874.476;881.825;848.850;863.844;847.303;859.669;855.790;861.536;865.139;862.511;879.529;882.821;884.220;882.818;914.145;920.949;911.215;904.088;881.433;882.183;889.942;899.550;917.705;919.608;898.789;853.677;812.276;786.470;806.895;804.407;822.741;870.949;863.900;858.691;814.265;828.071;838.841;844.399;834.614;836.934;829.450;828.269;813.252;801.140;768.551;766.391;781.584;784.138;772.901;789.845;792.575;834.994;822.380;812.702;812.251;820.003;829.095;851.603;844.141;859.054;858.101;874.277;859.892;860.145;850.490;850.670;833.715;819.726;805.909;792.561;785.127
