Population au 1er janvier par âge et année;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(p);(p);(p);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;197.409;206.042;208.057;207.061;213.257;216.742;221.276;214.156;220.992;219.572;231.694;233.036;231.049;254.222;258.806;261.650;274.746;280.551;300.627;304.604;301.606;305.072;309.242;313.106;313.717;325.537;326.167;332.667;320.413;348.161;346.250;344.875;231.696;186.913;199.109;224.369;260.360;422.230;420.148;408.038;408.800;409.858;419.130;423.474;423.272;431.795;430.754;454.689;446.097;452.757;432.967;444.028;432.901;436.474;429.913;431.417;434.727;409.401;389.050;430.510;458.905;467.050;473.099;621.596;653.285;661.794;658.705;666.086;639.980;652.579;640.513;649.899;650.166;655.682;660.448;663.864;678.448;682.566;687.115;686.847;710.768;721.378;715.435;714.654;698.665;702.441;711.390;721.962;739.440;743.894;730.126;696.225;665.154;646.664;665.635;666.007;683.581;725.800;722.294;720.297;685.511;699.196;710.425;717.215;710.983;714.929;710.585;711.343;700.416
79;182.633;181.925;188.539;192.127;190.305;197.362;200.443;203.878;196.893;204.629;203.432;215.052;215.942;214.822;236.808;239.871;243.880;256.023;262.533;281.490;285.059;282.528;285.770;290.405;294.170;295.104;307.712;308.359;315.302;307.870;331.074;329.888;328.797;220.713;177.976;189.899;213.940;249.250;404.375;403.037;392.219;393.408;393.529;404.326;408.517;408.355;415.773;415.694;438.091;430.972;438.313;419.063;430.920;419.268;423.349;416.981;418.871;422.008;397.658;376.688;417.506;445.904;453.902;459.877;604.322;635.222;643.607;640.714;647.990;622.700;635.052;623.389;632.605;632.960;638.615;643.535;647.158;661.651;665.955;670.664;670.681;694.328;704.972;699.430;698.938;683.558;687.519;696.523;707.126;724.499;729.124;715.889;682.870;652.614;634.690;653.518;654.096;671.576;713.278;710.045;708.295;674.288;687.946;699.194;706.071;700.122;704.192;700.097;701.011
80;161.483;167.038;164.408;172.390;174.999;174.473;180.541;183.445;186.277;180.472;187.506;187.176;197.745;199.044;198.639;218.479;221.920;225.759;237.414;243.961;261.444;265.297;262.729;266.529;270.505;275.002;276.588;289.293;290.010;300.307;290.535;313.339;312.085;312.285;209.208;168.820;180.417;203.227;236.672;386.045;384.821;375.182;376.465;377.539;388.225;391.685;391.353;398.137;399.351;421.514;414.274;422.131;404.019;415.930;403.610;410.684;404.370;405.660;408.884;383.970;364.303;404.541;432.087;439.871;445.713;585.711;615.704;623.902;621.171;628.281;603.855;615.933;604.704;613.731;614.176;619.978;625.062;628.905;643.294;647.797;652.677;653.001;676.344;687.021;681.915;681.734;667.016;671.175;680.236;690.872;708.128;712.936;700.281;668.224;638.856;621.549;640.218;641.020;658.395;699.530;696.595;695.113;661.957;675.584;686.853;693.825;688.185;692.390;688.567
81;141.757;145.636;149.966;148.858;155.608;159.062;157.970;163.265;166.517;169.290;164.134;170.954;170.474;180.653;182.306;181.845;200.866;203.286;207.663;218.213;224.493;241.177;244.278;243.136;246.145;250.817;255.876;257.937;270.458;274.348;282.007;273.459;294.606;294.236;294.896;196.976;159.330;170.390;192.354;223.797;366.700;365.593;356.681;360.038;360.156;371.203;373.188;373.425;379.492;381.614;402.464;397.960;404.928;388.688;399.414;388.920;394.943;389.424;390.724;392.579;369.538;351.572;390.529;417.238;424.855;430.613;566.031;595.134;603.192;600.685;607.650;584.120;595.906;585.126;593.951;594.483;600.431;605.680;609.745;624.019;628.722;633.776;634.415;657.431;668.137;663.482;663.622;649.594;653.955;663.072;673.738;690.866;695.861;683.810;652.763;624.326;607.663;626.163;627.197;644.457;684.990;682.366;681.162;648.901;662.494;673.781;680.851;675.536;679.882
82;125.476;126.139;128.779;134.386;132.560;139.769;142.562;141.345;146.026;150.141;152.384;148.030;153.909;154.495;163.867;165.255;165.761;182.188;184.987;189.398;198.663;205.244;220.245;224.359;222.940;226.153;231.629;236.969;238.892;253.373;255.439;263.137;255.290;275.824;275.572;276.565;184.518;149.413;160.295;181.039;210.270;346.345;344.643;338.875;341.909;341.244;352.022;353.618;353.827;360.163;362.455;382.604;380.340;386.276;371.594;383.987;372.700;379.280;374.148;373.969;376.732;355.642;338.545;376.045;401.777;409.133;414.718;545.155;573.224;581.046;578.740;585.545;562.968;574.436;564.132;572.736;573.356;579.452;584.869;589.162;603.306;608.214;613.447;614.416;637.073;647.804;643.627;644.106;630.814;635.385;644.558;655.250;672.235;677.426;666.020;636.058;608.621;592.650;610.963;612.243;629.374;669.253;666.961;666.056;634.759;648.312;659.616;666.790;661.824
83;108.736;110.452;110.373;113.854;118.517;117.449;123.921;126.111;125.123;129.871;133.942;136.098;131.654;137.603;137.113;147.030;149.220;149.241;164.217;166.595;170.516;180.028;185.166;200.264;203.725;202.863;207.179;212.481;217.841;222.030;233.889;236.623;243.489;237.475;256.405;256.172;258.056;171.700;139.222;149.708;169.304;196.153;324.146;324.746;319.602;320.431;322.133;331.868;333.170;334.443;340.365;343.000;362.859;361.042;366.713;354.625;364.516;355.072;361.787;355.308;356.200;360.051;340.145;324.046;360.069;384.839;391.999;397.480;522.663;549.707;557.321;555.222;561.850;540.290;551.409;541.612;549.973;550.680;556.916;562.496;567.016;581.002;586.114;591.524;592.832;615.084;625.824;622.149;622.980;610.470;615.254;624.474;635.180;651.995;657.385;646.667;617.876;591.517;576.289;594.387;595.926;612.905;652.059;650.119;649.532;619.282;632.782;644.096;651.374
84;93.493;94.505;94.565;96.443;98.901;104.145;102.404;108.308;110.211;110.003;113.911;118.517;119.518;115.732;121.743;121.156;131.412;132.781;133.311;146.231;148.040;152.563;160.351;166.232;180.079;183.495;184.008;188.397;192.996;200.385;202.860;214.311;216.872;224.288;218.737;236.177;236.601;238.529;158.214;128.891;138.946;156.967;181.274;303.317;303.351;298.459;298.778;301.522;310.053;312.013;313.335;319.240;322.907;342.602;339.799;347.212;334.793;344.860;336.238;341.153;336.133;338.191;342.189;323.530;308.484;342.911;366.636;373.577;378.938;498.444;524.335;531.718;529.836;536.266;515.798;526.533;517.278;525.371;526.164;532.523;538.251;542.986;556.773;562.078;567.652;569.303;591.084;601.806;598.654;599.843;588.166;593.160;602.407;613.104;629.708;635.293;625.311;597.794;572.607;558.183;576.025;577.831;594.623;632.951;631.385;631.133;602.035;615.459;626.768
85;79.579;80.025;79.596;81.330;82.781;85.392;90.055;88.004;93.482;95.648;95.027;99.149;103.261;104.110;100.776;106.291;106.673;115.778;117.111;117.660;128.516;130.809;134.087;141.801;146.882;160.040;164.248;165.025;169.170;175.466;181.244;183.909;194.111;197.532;204.174;199.308;215.670;215.941;218.272;144.731;118.362;127.808;143.864;167.244;280.925;280.915;275.907;277.008;279.288;288.990;290.535;291.346;298.659;301.098;320.484;319.781;326.018;315.133;324.822;314.805;320.644;317.305;319.485;323.518;306.087;292.063;324.686;347.198;353.818;358.962;472.297;496.937;504.062;502.405;508.615;489.318;499.630;490.954;498.749;499.627;506.073;511.915;516.838;530.363;535.832;541.542;543.522;564.743;575.401;572.781;574.322;563.521;568.705;577.944;588.590;604.920;610.682;601.481;575.349;551.437;537.880;555.402;557.477;574.027;611.391;610.216;610.310;582.485;595.794
86;63.264;66.690;66.019;67.432;68.190;70.779;72.352;76.183;74.877;80.002;81.544;81.458;84.511;89.181;89.906;86.574;92.257;92.551;100.936;102.293;102.167;111.989;113.555;116.965;123.268;128.463;141.562;145.889;146.340;151.886;156.824;162.543;164.394;174.573;177.666;183.983;180.172;194.701;195.130;197.847;131.359;107.762;116.232;132.010;152.320;257.092;256.752;253.590;253.906;256.977;265.900;267.122;268.854;276.938;278.305;298.687;296.885;303.441;293.665;301.041;292.971;299.706;296.875;299.198;303.283;287.190;274.286;305.021;326.281;332.609;337.552;444.234;467.519;474.356;472.931;478.895;460.852;470.698;462.638;470.103;471.064;477.545;483.455;488.524;501.707;507.298;513.101;515.386;535.936;546.468;544.379;546.252;536.368;541.710;550.888;561.428;577.400;583.308;574.930;550.300;527.775;515.149;532.269;534.606;550.840;587.069;586.295;586.740;560.324
87;51.377;51.951;54.073;54.899;55.675;56.866;59.355;60.422;63.753;62.998;67.317;68.768;68.237;71.497;74.270;75.918;73.965;78.393;79.369;86.882;87.445;87.914;95.759;97.781;100.325;106.000;111.834;123.828;127.884;129.852;133.996;139.059;143.642;146.543;155.174;158.169;164.276;160.949;173.522;174.813;177.545;117.700;96.525;105.444;119.397;137.660;232.541;233.033;230.165;232.182;234.321;242.111;244.444;246.674;253.398;256.887;274.093;273.610;280.364;269.011;277.228;271.299;277.754;275.380;277.778;281.841;267.101;255.321;284.008;303.895;309.881;314.598;414.140;435.963;442.479;441.291;446.980;430.272;439.604;432.197;439.296;440.335;446.778;452.685;457.834;470.572;476.219;482.047;484.589;504.326;514.642;513.062;515.226;506.283;511.727;520.766;531.114;546.614;552.612;545.084;522.077;501.051;489.417;506.019;508.592;524.405;559.275;558.896;559.681
88;38.696;41.779;41.384;44.045;44.375;45.673;46.357;48.835;49.765;52.880;51.951;56.189;57.011;56.616;58.776;61.754;63.945;61.805;65.883;66.836;73.311;74.271;74.136;81.710;83.047;85.448;91.241;96.488;107.042;111.658;112.926;117.020;121.143;126.098;128.292;135.941;139.002;144.440;141.356;153.125;154.895;157.498;103.657;86.593;94.306;106.538;123.078;207.699;208.412;207.377;209.292;210.671;219.181;220.989;222.874;231.504;231.717;249.803;249.453;253.855;244.818;253.701;248.542;254.675;252.750;255.198;259.204;245.869;235.255;261.771;280.193;285.806;290.271;382.209;402.465;408.624;407.674;413.058;397.758;406.529;399.806;406.501;407.609;413.950;419.793;424.964;437.164;442.806;448.600;451.358;470.151;480.169;479.080;481.500;473.522;479.016;487.844;497.923;512.845;518.881;512.227;490.959;471.539;460.951;476.928;479.712;495.003;528.301;528.310
89;30.617;30.646;32.733;33.169;35.101;35.656;36.807;36.895;39.484;40.582;42.660;42.546;45.658;46.714;46.270;47.668;50.889;52.693;51.053;54.359;55.261;61.489;61.968;62.624;68.638;69.948;72.434;77.556;82.125;91.938;95.550;96.872;100.334;104.668;108.663;110.697;117.457;120.218;125.023;122.784;133.477;135.112;136.754;91.239;76.353;83.131;94.239;108.630;183.495;184.486;183.823;185.650;187.502;195.756;196.651;201.031;206.565;207.754;225.023;222.346;227.770;221.118;229.403;224.994;230.755;229.256;231.715;235.617;223.716;214.288;238.503;255.374;260.584;264.769;348.694;367.287;373.054;372.336;377.384;363.554;371.716;365.701;371.957;373.120;379.276;384.974;390.088;401.635;407.192;412.872;415.781;433.477;443.092;442.453;445.068;438.058;443.526;452.049;461.754;475.965;481.960;476.186;456.758;439.037;429.537;444.752;447.700;462.339;493.811
90;18.248;23.657;23.405;26.033;25.765;27.762;27.841;28.994;28.950;31.610;32.276;34.322;33.912;36.651;36.854;37.063;38.432;41.060;42.485;41.320;43.670;45.402;49.942;50.858;51.453;56.395;58.241;60.557;64.483;69.364;77.395;81.035;81.990;85.513;89.082;92.306;94.169;100.320;102.070;107.023;105.363;114.287;114.848;118.985;78.805;66.210;72.489;81.773;94.350;160.367;161.256;160.882;162.668;165.769;170.989;175.725;176.436;182.746;184.512;198.098;196.882;202.930;197.171;204.736;200.995;206.277;205.116;207.485;211.174;200.668;192.398;214.197;229.433;234.208;238.086;313.602;330.437;335.774;335.281;339.960;327.655;335.159;329.873;335.651;336.854;342.726;348.185;353.149;363.917;369.293;374.763;377.743;394.172;403.262;403.015;405.748;399.696;405.044;413.148;422.357;435.699;441.556;436.654;419.161;403.228;394.847;409.140;412.188;426.021
91;14.970;13.731;17.603;18.121;20.074;19.873;21.361;21.217;22.451;22.406;24.702;25.626;26.858;26.703;28.133;28.838;29.513;30.332;32.544;33.427;32.554;34.705;35.864;40.059;40.545;41.476;46.089;47.779;49.217;53.466;57.411;64.304;67.146;68.673;71.426;74.117;77.140;78.842;83.672;85.590;89.909;88.544;95.171;98.100;101.095;67.095;56.287;61.840;69.889;80.555;137.166;138.234;138.499;140.881;142.623;150.249;151.548;153.553;159.579;158.712;171.942;172.415;177.895;173.006;179.818;176.720;181.495;180.647;182.899;186.340;177.232;170.099;189.419;202.970;207.286;210.832;277.730;292.747;297.621;297.336;301.617;290.856;297.663;293.106;298.374;299.597;305.105;310.246;314.980;324.868;329.979;335.157;338.135;353.162;361.626;361.713;364.492;359.370;364.513;372.101;380.709;393.053;398.683;394.625;379.120;365.023;357.765;371.002;374.087
92;10.016;11.017;9.956;13.238;13.440;15.374;14.880;16.110;16.015;17.205;16.870;19.158;19.820;20.631;20.206;21.292;22.402;22.896;23.644;25.000;25.582;25.102;26.609;27.865;31.188;31.692;33.059;36.823;38.179;39.871;43.072;46.803;52.211;55.210;56.358;58.367;60.700;63.182;64.312;68.522;70.386;73.936;72.253;79.874;81.918;84.487;56.378;47.313;52.329;59.132;68.279;114.785;116.250;117.886;118.861;123.398;126.937;129.426;131.281;134.827;135.235;147.725;148.283;153.160;149.095;155.120;152.618;156.857;156.284;158.379;161.526;153.775;147.739;164.556;176.397;180.232;183.419;241.623;254.785;259.163;259.057;262.909;253.677;259.750;255.903;260.628;261.841;266.909;271.656;276.079;284.997;289.761;294.568;297.468;310.976;318.716;319.073;321.820;317.584;322.437;329.415;337.322;348.549;353.859;350.600;337.107;324.866;318.714;330.771
93;6.678;7.158;7.762;7.292;9.664;9.968;11.516;10.850;11.954;11.927;12.870;12.600;14.458;15.206;15.310;15.123;16.070;16.806;17.376;17.930;18.608;19.053;18.585;20.049;20.995;23.886;24.455;25.709;28.901;30.108;31.488;34.156;37.332;42.047;44.200;45.260;46.921;48.824;50.604;51.726;55.031;56.645;59.060;59.218;65.177;67.118;69.757;46.398;39.173;43.327;48.812;56.255;95.067;97.495;97.752;101.147;101.889;106.428;108.788;108.837;112.791;114.090;124.711;125.287;129.519;126.188;131.391;129.399;133.066;132.695;134.594;137.407;130.939;125.931;140.286;150.428;153.765;156.568;206.225;217.531;221.379;221.406;224.796;217.028;222.334;219.149;223.297;224.458;229.017;233.303;237.341;245.222;249.562;253.924;256.668;268.572;275.504;276.054;278.688;275.272;279.748;286.032;293.145;303.153;308.051;305.521;294.012;283.599;278.507
94;4.408;4.640;4.964;5.573;5.159;7.139;7.266;8.349;7.865;8.843;8.524;9.664;8.931;10.777;10.702;11.158;11.317;11.888;12.618;12.865;13.020;13.719;13.996;14.003;14.923;15.523;18.144;18.819;19.654;22.253;23.328;24.368;26.326;29.386;33.166;34.634;35.641;36.841;38.216;39.655;40.645;43.126;43.960;47.508;47.026;51.994;53.856;56.305;37.345;31.708;35.032;38.690;45.523;77.567;79.007;81.489;81.838;84.150;87.671;88.250;89.196;93.340;94.488;103.331;103.890;107.482;104.804;109.202;107.650;110.755;110.565;112.258;114.731;109.449;105.388;117.413;125.943;128.795;131.218;172.798;182.338;185.661;185.791;188.726;182.321;186.878;184.301;187.882;188.970;193.007;196.817;200.443;207.297;211.189;215.089;217.639;227.962;234.076;234.772;237.253;234.582;238.646;244.225;250.532;259.321;263.773;261.892;252.267;243.582
95;3.303;2.915;3.168;3.506;3.831;3.693;5.002;5.052;5.924;5.563;6.264;6.203;6.978;6.417;7.084;7.750;8.136;8.184;8.617;9.093;9.159;9.789;9.992;10.588;10.301;11.086;11.793;13.834;14.290;14.934;16.838;17.596;18.445;20.143;22.584;25.547;26.562;27.497;28.152;29.245;30.762;31.288;32.681;34.340;37.143;36.820;40.778;42.144;44.537;29.562;25.117;27.394;30.334;36.518;60.819;64.945;63.835;65.561;67.778;69.403;70.691;72.142;75.556;76.552;83.767;84.295;87.286;85.193;88.840;87.671;90.270;90.214;91.686;93.810;89.595;86.378;96.241;103.266;105.657;107.710;141.797;149.683;152.499;152.702;155.197;150.035;153.873;151.844;154.879;155.874;159.372;162.686;165.868;171.710;175.123;178.535;180.846;189.618;194.902;195.680;197.957;195.935;199.545;204.401;209.884;217.454;221.415;220.083;212.211
96;1.906;2.189;1.940;2.252;2.346;2.610;2.519;3.427;3.456;4.191;3.857;4.607;4.496;5.032;4.115;4.948;5.554;5.830;5.834;5.944;6.283;6.729;7.095;7.491;7.748;7.719;8.398;8.806;10.224;10.565;11.074;12.555;12.913;13.749;14.883;16.990;19.323;19.947;20.623;21.080;21.910;23.103;22.938;24.890;25.743;28.140;28.391;31.152;32.278;34.485;22.811;19.099;20.997;23.812;27.962;48.579;49.799;49.933;51.650;52.436;54.314;55.898;57.077;59.829;60.672;66.426;66.909;69.345;67.751;70.711;69.878;72.011;72.056;73.314;75.105;71.824;69.342;77.264;82.931;84.895;86.601;113.961;120.349;122.689;122.935;125.016;120.950;124.121;122.566;125.089;125.979;128.959;131.792;134.537;139.430;142.373;145.311;147.368;154.692;159.184;160.002;162.053;160.589;163.744;167.905;172.596;179.012;182.482;181.612
97;1.300;1.204;1.407;1.341;1.483;1.646;1.648;1.655;2.263;2.402;2.899;2.631;3.307;3.217;2.829;2.660;3.499;3.899;4.170;4.014;4.054;4.366;4.476;4.831;4.959;5.131;5.596;6.199;6.218;7.349;7.616;8.063;9.132;9.340;9.887;10.680;12.509;14.419;14.562;15.192;15.377;15.906;16.472;16.925;18.040;19.065;21.248;21.253;23.191;24.021;25.935;16.868;14.139;15.897;17.721;21.781;36.319;37.652;38.011;38.806;39.840;41.656;42.966;43.932;46.131;46.857;51.369;51.826;53.796;52.648;55.015;54.450;56.166;56.279;57.333;58.813;56.327;54.466;60.687;65.158;66.737;68.123;89.594;94.655;96.559;96.823;98.521;95.397;97.962;96.804;98.859;99.635;102.126;104.503;106.828;110.848;113.339;115.822;117.618;123.619;127.369;128.185;129.998;128.993;131.703;135.207;139.151;144.494;147.482
98;900;854;768;958;890;999;1.101;1.068;1.078;1.499;1.554;1.979;1.715;2.675;1.770;1.787;1.624;2.369;2.711;2.935;2.606;2.778;2.951;3.101;3.338;3.395;3.502;3.798;4.410;4.347;5.212;5.484;5.725;6.613;6.417;6.949;7.570;9.063;10.310;10.426;10.841;10.929;10.942;11.946;11.740;13.163;13.710;15.386;15.513;17.004;17.794;18.784;12.197;10.263;11.404;13.560;15.749;26.814;27.955;27.854;28.782;29.849;31.259;32.306;33.074;34.781;35.382;38.830;39.237;40.788;39.981;41.833;41.476;42.829;42.982;43.847;45.046;43.215;41.861;46.636;50.084;51.327;52.429;68.901;72.824;74.339;74.600;75.956;73.614;75.645;74.809;76.448;77.108;79.151;81.109;83.039;86.281;88.349;90.410;91.947;96.771;99.845;100.627;102.197;101.556;103.841;106.741;110.001;114.373
99;650;620;537;541;646;610;669;707;660;718;971;1.041;1.266;1.151;1.652;1.089;1.098;995;1.470;1.626;1.656;1.760;1.868;2.005;2.049;2.196;2.215;2.567;2.586;3.056;2.898;3.636;3.809;4.116;4.613;4.202;4.768;5.233;6.384;7.275;7.249;7.532;7.327;7.713;8.189;8.203;9.311;9.566;10.832;11.227;12.211;12.435;13.340;8.773;7.165;8.560;9.637;11.363;19.541;19.911;20.151;21.034;21.843;22.908;23.721;24.316;25.608;26.091;28.663;29.010;30.204;29.660;31.079;30.874;31.920;32.090;32.786;33.738;32.429;31.474;35.059;37.660;38.617;39.475;51.831;54.807;55.987;56.229;57.290;55.578;57.153;56.568;57.849;58.396;60.039;61.623;63.194;65.761;67.446;69.126;70.415;74.221;76.697;77.419;78.751;78.384;80.276;82.637;85.286
100;1.131;1.361;1.221;1.056;1.019;1.055;1.109;1.111;1.122;992;932;1.113;1.230;1.149;1.209;1.792;1.742;1.636;1.545;1.882;2.392;2.500;2.549;2.637;2.886;3.126;3.352;3.476;3.760;3.885;4.379;4.458;5.014;5.648;6.303;7.107;7.259;3.231;3.383;4.395;4.985;4.845;4.816;4.968;5.213;5.832;5.645;6.341;6.653;7.561;7.806;8.272;8.544;9.421;5.894;5.206;5.959;6.771;7.969;13.595;13.994;14.267;14.918;15.524;16.315;16.935;17.393;18.352;18.738;20.616;20.906;21.805;21.457;22.521;22.421;23.216;23.384;23.934;24.674;23.769;23.119;25.750;27.667;28.389;29.042;38.099;40.307;41.207;41.421;42.235;41.015;42.210;41.817;42.796;43.239;44.537;45.793;47.047;49.041;50.389;51.734;52.794;55.741;57.699;58.345;59.452;59.282;60.819;62.710
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.958;2.076;2.127;2.990;3.338;3.108;3.287;3.164;3.351;3.834;3.669;4.181;4.424;5.185;5.266;5.463;5.858;6.065;4.058;3.519;4.032;4.611;5.268;9.176;9.626;9.847;10.318;10.764;11.341;11.804;12.152;12.850;13.154;14.492;14.727;15.390;15.180;15.962;15.928;16.522;16.676;17.102;17.665;17.059;16.633;18.523;19.907;20.441;20.928;27.429;29.035;29.708;29.891;30.502;29.654;30.544;30.289;31.024;31.375;32.380;33.359;34.341;35.863;36.921;37.979;38.833;41.075;42.598;43.157;44.060;44.020;45.247
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.135;1.191;1.267;1.315;1.991;2.160;2.007;2.100;2.004;2.162;2.336;2.291;2.650;2.900;3.255;3.459;3.617;3.720;4.178;2.652;2.463;2.806;3.056;3.569;6.246;6.560;6.727;7.057;7.373;7.781;8.114;8.368;8.863;9.092;10.031;10.217;10.699;10.578;11.144;11.147;11.584;11.719;12.043;12.465;12.068;11.796;13.134;14.120;14.508;14.866;19.464;20.615;21.111;21.261;21.714;21.133;21.786;21.626;22.170;22.443;23.209;23.960;24.718;25.864;26.681;27.501;28.177;29.862;31.029;31.500;32.224;32.261
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;650;663;745;761;740;1.319;1.405;1.229;1.332;1.191;1.286;1.490;1.404;1.762;1.774;2.148;2.150;2.224;2.436;2.592;1.731;1.658;1.892;2.065;2.403;4.175;4.394;4.522;4.754;4.978;5.268;5.507;5.694;6.042;6.211;6.862;7.005;7.351;7.286;7.691;7.712;8.029;8.141;8.384;8.695;8.441;8.273;9.208;9.901;10.180;10.438;13.651;14.465;14.825;14.945;15.276;14.885;15.357;15.260;15.658;15.866;16.442;17.010;17.586;18.439;19.061;19.688;20.214;21.466;22.349;22.736;23.307
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;385;394;434;429;399;922;847;780;852;780;774;901;903;966;1.047;1.413;1.284;1.461;1.507;1.614;1.176;1.065;1.249;1.385;1.613;2.775;2.928;3.025;3.186;3.344;3.548;3.719;3.853;4.096;4.219;4.666;4.775;5.020;4.989;5.276;5.303;5.531;5.621;5.801;6.029;5.868;5.766;6.415;6.898;7.097;7.281;9.508;10.079;10.338;10.431;10.670;10.409;10.748;10.690;10.978;11.134;11.563;11.987;12.421;13.050;13.518;13.992;14.397;15.318;15.981;16.292
105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410;463;516;546;602;591;593;1.022;1.127;1.256;1.398;1.299;1.281;1.341;1.354;1.370;1.626;1.857;2.044;2.284;2.431;2.678;2.621;2.401;2.219;2.216;2.378;3.246;3.910;4.399;4.820;5.200;5.584;5.955;6.295;6.683;7.028;7.563;8.003;8.468;8.766;9.170;9.474;9.846;10.172;10.534;10.949;11.139;11.220;11.733;12.422;13.029;13.572;15.466;17.137;18.440;19.379;20.176;20.533;21.010;21.301;21.705;22.099;22.688;23.417;24.257;25.311;26.410;27.548;28.662;30.129;31.665
Total;46.422.000;47.573.406;48.059.029;48.561.800;48.953.792;49.373.537;49.723.072;50.107.735;50.528.219;51.016.234;51.485.953;51.915.873;52.320.725;52.600.000;52.798.338;53.019.005;53.271.566;53.481.073;53.731.387;54.028.630;54.335.000;54.649.984;54.894.854;55.157.303;55.411.238;55.681.780;55.966.142;56.269.810;56.577.000;58.280.135;58.571.237;58.852.002;59.070.077;59.280.577;59.487.413;59.691.177;59.899.347;60.122.665;60.508.150;60.941.410;61.385.070;61.824.030;62.251.062;62.730.537;63.186.117;63.600.690;63.961.859;64.304.500;64.612.939;64.933.400;65.241.241;65.564.756;66.130.873;66.422.469;66.602.645;66.774.482;66.992.159;67.144.101;67.287.241;67.407.241;67.515.287;67.659.288;67.811.952;67.955.359;68.090.024;68.216.633;68.335.817;68.448.098;68.553.816;68.653.068;68.745.799;68.831.838;68.910.949;68.982.832;69.047.147;69.103.584;69.152.003;69.192.381;69.224.895;69.249.939;69.267.919;69.279.315;69.284.640;69.284.377;69.278.857;69.268.288;69.252.693;69.232.081;69.206.324;69.175.307;69.138.929;69.097.237;69.049.702;68.996.742;68.938.961;68.877.085;68.811.995;68.744.691;68.676.183;68.607.499;68.539.594;68.473.340;68.409.540;68.348.827;68.291.755;68.238.680;68.189.731;68.144.844;68.103.696
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note : Données provisoires de 2019 à 2021.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Champ :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine jusqu'en 1990, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France hors Mayotte de 1991 à 2013,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France à partir de 2014.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source : Insee, estimations de population jusqu'en 2021 et projections de population 2021-2070 à partir de 2022.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
